KEY,Korean,English,English_for_Translate,Japanese,ChineseSimplified,ChineseTraditional,Spanish_Google,Spanish,

MISSILERPG,미사일 RPG,MIssile RPG,MIssile RPG,ミサイルRPG,导弹RPG,導彈RPG,de misiles RPG,de misiles RPG,
MISSILE_000_NAME,작은 미사일,Small Missile,Small Missile,小さなミサイル,小型导弹,小型導彈,Pequeño misiles,Misiles pequeños,
MISSILE_001_NAME,순항 미사일,Cruise Missile,Cruise Missile,巡航ミサイル,巡航导弹,巡航導彈,Misil de crucero,Misil de crucero,
MISSILE_002_NAME,패트리엇,Patriot,Patriot,パトリオット,爱国者,愛國者,Patriota,Patriota,
MISSILE_003_NAME,강화권총탄,Advanced Bullet,Advanced Bullet,ガンファグォン銃弾,高级子弹,高級子彈,bala avanzada,bala avanzada,
MISSILE_004_NAME,가속탄,Boost Bullet,Boost Bullet,加速弾,升压子弹,升壓子彈,bala impulso,bala impulsa,
MISSILE_005_NAME,권총탄,Bullet,Bullet,拳銃弾,子弹,子彈,Bala,Bala,
MISSILE_006_NAME,포크탄,Fork,Fork,フォーク弾,叉子,叉子,Tenedor,Tenedor,
MISSILE_007_NAME,자벌레,Cankerworm,Cankerworm,ルーパー,尺蠖,尺蠖,pulgón,geómetra,
MISSILE_008_NAME,광물탄,Mineral Bomb,Mineral Bomb,鉱物弾,矿产炸弹,礦產炸彈,bomba mineral,bomba mineral,
MISSILE_009_NAME,드래곤탄,Dragon Missile,Dragon Missile,ドラゴン弾,龙导弹,龍導彈,dragón del misil,Misil de dragón,
MISSILE_010_NAME,97식 폭탄,97-Bomb,97-Bomb,97式爆弾,97炸弹,97炸彈,97-Bomba,97-Bomba,
MISSILE_011_NAME,집속탄,Cluster Bomb,Cluster Bomb,クラスター爆弾,集束炸弹,集束炸彈,bomba de racimo,bomba de racimo,
MISSILE_012_NAME,꿀중독탄,Honey Bee,Honey Bee,蜂蜜中毒弾,蜜蜂,蜜蜂,La miel de abeja,abeja melífera,
MISSILE_013_NAME,주먹탄,Fist,Fist,拳弾,拳头,拳頭,Puño,Puño,
MISSILE_014_NAME,벙커 버스터,Bunker Buster,Bunker Buster,バンカーバスター,地堡终结者,地堡終結者,Bunker Buster,Bunker Buster,
MISSILE_015_NAME,화학탄,Chemical Missile,Chemical Missile,化学弾,化学导弹,化學導彈,química del misil,Misil químico,
MISSILE_016_NAME,도검탄,Knife Missile,Knife Missile,刀剣弾,刀导弹,刀導彈,cuchillo de misiles,Misil cuchillo,
MISSILE_017_NAME,유도미사일,Guided Missile,Guided Missile,誘導ミサイル,导弹,導彈,Misil guiado,Misil guiado,
MISSILE_018_NAME,지네탄,Centipede,Centipede,ムカデ弾,蜈,蜈,Ciempiés,Ciempiés,
MISSILE_019_NAME,닭다리,Chicken,Chicken,ダルダリ,鸡,雞,Pollo,Pollo,
MISSILE_020_NAME,나무늘보탄,Sloth,Sloth,ナマケモノ弾,懒惰,懶惰,Perezoso,Perezoso,
MISSILE_021_NAME,팩트리어트,Fact Bomb,Fact Bomb,ファクトリアト,事实上炸弹,事實上炸彈,bomba hecho,bomba hecho,
MISSILE_022_NAME,아메바,Amoeba,Amoeba,アメーバ,阿米巴,阿米巴,Ameba,Ameba,
MISSILE_023_NAME,황금 자벌레,Golden Cankerworm,Golden Cankerworm,黄金ルーパー,金尺蠖,金尺蠖,pulgón de oro,geómetra de oro,
MISSILE_024_NAME,페이스 허거,Face Hugger,Face Hugger,フェイスホゴ,面对杂乱的,面對雜亂的,cara Hugger,cara Hugger,
MISSILE_025_NAME,실험체,Specimen,Specimen,実験体,标本,標本,Muestra,Muestra,
MISSILE_026_NAME,핵폐기물,Nuclear Waste,Nuclear Waste,核廃棄物,核废料,核廢料,Desperdicios nucleares,Desperdicios nucleares,
